FileObject(id='file-a8EhVaBoN50HMOa8ZuQVyby6', bytes=775829, created_at=1720429491, filename='sohbetler167732_batch_66000-66499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-LKHv4UaVpCUo8DH5bez1fEA2', bytes=839870, created_at=1720429492, filename='sohbetler167732_batch_65500-65999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-k42One7ICciROUJ87wfeFh7P', bytes=787409, created_at=1720429493, filename='sohbetler167732_batch_67500-67999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-Cx1qgEi5CC6nKvUzMXnysMAj', bytes=776881, created_at=1720429493, filename='sohbetler167732_batch_67000-67499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-1Jmaq3RkvTgc4RuGSYfau8q1', bytes=795671, created_at=1720429494, filename='sohbetler167732_batch_66500-66999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-YqPSvVFzWU6ASPH1vgyDNntL', bytes=774725, created_at=1720429495, filename='sohbetler167732_batch_68000-68499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-qO6obzsElCiFpTfUBSVepp98', bytes=782018, created_at=1720429498, filename='sohbetler167732_batch_68500-68999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-8sQvm6ejbEQyo1lSAhA64d3Y', bytes=768228, created_at=1720429499, filename='sohbetler167732_batch_69000-69499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-fr2d3Io9oGwWJjogjKn6r6Gn', bytes=773730, created_at=1720429500, filename='sohbetler167732_batch_69500-69999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-3wd6igniBKyBbHSov0xT5n9H', bytes=807777, created_at=1720429501, filename='sohbetler167732_batch_70000-70499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-fgYvhI3ymtizOnWB60CaFaRe', bytes=851155, created_at=1720429502, filename='sohbetler167732_batch_70500-70999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-fkfgLkLm4Hg7NYOwVqIauyjx', bytes=837831, created_at=1720429502, filename='sohbetler167732_batch_71000-71499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-N5CFKkMpBahl5magXUIY0DEG', bytes=869288, created_at=1720429504, filename='sohbetler167732_batch_71500-71999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-43QTilwn9Cv4jIWIYGGh02dm', bytes=866186, created_at=1720429505, filename='sohbetler167732_batch_72000-72499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-Bq7lvz7sLu1f9xagN3oPy3uC', bytes=912403, created_at=1720429506, filename='sohbetler167732_batch_72500-72999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-ik2THI0LBS0T1Cbtl7FX2JNV', bytes=919957, created_at=1720429507, filename='sohbetler167732_batch_73000-73499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-XJAVuUrzI8AQXOjZsDzKQdAf', bytes=961807, created_at=1720429508, filename='sohbetler167732_batch_74500-74999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-RlmIpKkIPuTTC9XV4agOi6ac', bytes=909116, created_at=1720429508, filename='sohbetler167732_batch_73500-73999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-Yj11ZxuvnbqBPgmA2aag2zfH', bytes=966687, created_at=1720429509, filename='sohbetler167732_batch_74000-74499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-ZSqYAItzaDrkcWclVHhpvs17', bytes=896729, created_at=1720429510, filename='sohbetler167732_batch_75500-75999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-RJQ9w9wnEKAp1u3sscFwANoe', bytes=863271, created_at=1720429512, filename='sohbetler167732_batch_76000-76499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-OJcrxB04dIBItmP2kzjSE8R5', bytes=861673, created_at=1720429513, filename='sohbetler167732_batch_75000-75499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-SnwQIBAcdqLXONyElQNYcFBn', bytes=815295, created_at=1720429514, filename='sohbetler167732_batch_76500-76999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-jtdfSO6GGtcrvNdD5QDFoHCy', bytes=951103, created_at=1720429515, filename='sohbetler167732_batch_77000-77499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-eH80RToThBUfDDtr9p04F5ly', bytes=858375, created_at=1720429516, filename='sohbetler167732_batch_78000-78499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-AZidwazdCQmWhZLYaKIFAhoj', bytes=889549, created_at=1720429516, filename='sohbetler167732_batch_78500-78999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-KL24Cp19HFvdYmTcH9FHIJbo', bytes=946179, created_at=1720429517, filename='sohbetler167732_batch_77500-77999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-S429TVJXeRZPDk0w8RyTLPmp', bytes=829313, created_at=1720429518, filename='sohbetler167732_batch_80000-80499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-bOCoMDIavtwuzNq2Jiv7jTgd', bytes=830356, created_at=1720429519, filename='sohbetler167732_batch_79000-79499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-d2MSXQAXB88TPSUdu703DzEK', bytes=823975, created_at=1720429520, filename='sohbetler167732_batch_79500-79999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-UaLf5BmNKrUPx1hLLivVYbOs', bytes=763793, created_at=1720429520, filename='sohbetler167732_batch_81000-81499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-wVGlK9aoNzF8C4XkJZs88eNk', bytes=761463, created_at=1720429521, filename='sohbetler167732_batch_81500-81999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-an6XrX3Qar3sdMDDLmCI7ydk', bytes=806773, created_at=1720429522, filename='sohbetler167732_batch_80500-80999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-8nP1GjIOgt726G3ynmpbhbSh', bytes=838032, created_at=1720429523, filename='sohbetler167732_batch_82500-82999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-1g1403xKeM6kHfV7qfHjXGbt', bytes=825967, created_at=1720429524, filename='sohbetler167732_batch_82000-82499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-QQ27nJxvFwvu8vpPPHwKoZ3A', bytes=840781, created_at=1720429525, filename='sohbetler167732_batch_83500-83999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-MMmsHcgaJqq6rsdLvZuqR871', bytes=819400, created_at=1720429526, filename='sohbetler167732_batch_83000-83499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-GvCQbYFn5vREmqD9NlV2rBNL', bytes=850747, created_at=1720429527, filename='sohbetler167732_batch_84000-84499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-cOCYhJ0nFoLkBPjiTLQ81BLe', bytes=814583, created_at=1720429528, filename='sohbetler167732_batch_84500-84999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-e9pC9IWkPYt2ZZSZvXkl02oJ', bytes=798170, created_at=1720429529, filename='sohbetler167732_batch_85500-85999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-FeRloufG2JthSUwECFe6Bl1s', bytes=808627, created_at=1720429530, filename='sohbetler167732_batch_85000-85499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-KR6hzACYO3BXXBJfEFFurlLL', bytes=808941, created_at=1720429531, filename='sohbetler167732_batch_86000-86499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-JIUfZ0trfypPjGY2kzCDUqOe', bytes=785070, created_at=1720429532, filename='sohbetler167732_batch_87000-87499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-3foRQRVhiCjLVEKp52haCTZb', bytes=800191, created_at=1720429533, filename='sohbetler167732_batch_86500-86999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-MQilDJDQU3CZOpUGB7KXTKsE', bytes=890314, created_at=1720429534, filename='sohbetler167732_batch_88500-88999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-zLmUTHqz2kjHEY2ZMbG72MMH', bytes=778399, created_at=1720429535, filename='sohbetler167732_batch_87500-87999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
